Band,Capture,Stage,Used,ExclusionReason,LinearSubsamples,RetainedSweepFraction
1kHzto10kHz_20ms_2.5ms_div,Osciloscopio_ALL0000_F0000,COMP,0,"omitida: campaña histórica sólo para BP/LP",0,0
1kHzto10kHz_20ms_2.5ms_div,Osciloscopio_ALL0000_F0000,LP,1,"usada completa",1,1
1kHzto10kHz_20ms_2.5ms_div,Osciloscopio_ALL0000_F0000,LP_PGA,0,"omitida: campaña histórica sólo para BP/LP",0,0
1kHzto10kHz_20ms_2.5ms_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,BP,1,"usada parcialmente: 2 submuestra(s), 82.1% del sweep lineal; saturación CH2",2,0.820749592612711
1kHzto10kHz_20ms_2.5ms_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,COMP,0,"omitida: campaña histórica sólo para BP/LP",0,0
1kHzto10kHz_20ms_2.5ms_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,LP,1,"usada completa",1,1
1kHzto10kHz_20ms_2.5ms_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,LP_PGA,0,"omitida: campaña histórica sólo para BP/LP",0,0
1kHzto10kHz_20ms_2.5ms_div,Osciloscopio_calibracion_2026-07-21_ALL0002_F0002,BP,1,"usada completa",1,1
1kHzto10kHz_20ms_2.5ms_div,Osciloscopio_calibracion_2026-07-21_ALL0002_F0002,COMP,0,"omitida: campaña histórica sólo para BP/LP",0,0
1kHzto10kHz_20ms_2.5ms_div,Osciloscopio_calibracion_2026-07-21_ALL0002_F0002,LP,1,"usada completa",1,1
1kHzto10kHz_20ms_2.5ms_div,Osciloscopio_calibracion_2026-07-21_ALL0002_F0002,LP_PGA,0,"omitida: campaña histórica sólo para BP/LP",0,0
1kHzto10kHz_20ms_2.5ms_div,Osciloscopio_calibracion_2026-07-21_ALL0003_F0003,BP,1,"usada completa",1,1
1kHzto10kHz_20ms_2.5ms_div,Osciloscopio_calibracion_2026-07-21_ALL0003_F0003,COMP,0,"omitida: campaña histórica sólo para BP/LP",0,0
1kHzto10kHz_20ms_2.5ms_div,Osciloscopio_calibracion_2026-07-21_ALL0003_F0003,LP,1,"usada completa",1,1
1kHzto10kHz_20ms_2.5ms_div,Osciloscopio_calibracion_2026-07-21_ALL0003_F0003,LP_PGA,0,"omitida: campaña histórica sólo para BP/LP",0,0
1kHzto10kHz_20ms_2.5ms_div,Osciloscopio_calibracion_2026-07-21_ALL0004_F0004,BP,1,"usada completa",1,1
1kHzto10kHz_20ms_2.5ms_div,Osciloscopio_calibracion_2026-07-21_ALL0004_F0004,COMP,0,"omitida: campaña histórica sólo para BP/LP",0,0
1kHzto10kHz_20ms_2.5ms_div,Osciloscopio_calibracion_2026-07-21_ALL0004_F0004,LP,1,"usada completa",1,1
1kHzto10kHz_20ms_2.5ms_div,Osciloscopio_calibracion_2026-07-21_ALL0004_F0004,LP_PGA,0,"omitida: campaña histórica sólo para BP/LP",0,0
5kHzto50kHz_4ms_500us_div,ALL0001_F0001,BP,1,"usada parcialmente: 1 submuestra(s), 90.8% del sweep lineal; saturación CH2",1,0.907658881042911
5kHzto50kHz_4ms_500us_div,ALL0001_F0001,COMP,1,"usada parcialmente: 1 submuestra(s), 90.8% del sweep lineal; saturación CH2",1,0.907658881042911
5kHzto50kHz_4ms_500us_div,ALL0001_F0001,LP,1,"usada completa",1,1
5kHzto50kHz_4ms_500us_div,ALL0001_F0001,LP_PGA,1,"usada parcialmente: 1 submuestra(s), 90.8% del sweep lineal; saturación CH2",1,0.907658881042911
5kHzto50kHz_4ms_500us_div,ALL0002_F0002,BP,1,"usada completa",1,1
5kHzto50kHz_4ms_500us_div,ALL0002_F0002,COMP,1,"usada completa",1,1
5kHzto50kHz_4ms_500us_div,ALL0002_F0002,LP,1,"usada completa",1,1
5kHzto50kHz_4ms_500us_div,ALL0002_F0002,LP_PGA,1,"usada completa",1,1
5kHzto50kHz_4ms_500us_div,Osciloscopio_ALL0000_F0000,BP,1,"usada completa",1,1
5kHzto50kHz_4ms_500us_div,Osciloscopio_ALL0000_F0000,COMP,0,"omitida: campaña histórica sólo para BP/LP",0,0
5kHzto50kHz_4ms_500us_div,Osciloscopio_ALL0000_F0000,LP,1,"usada completa",1,1
5kHzto50kHz_4ms_500us_div,Osciloscopio_ALL0000_F0000,LP_PGA,0,"omitida: campaña histórica sólo para BP/LP",0,0
5kHzto50kHz_4ms_500us_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,BP,1,"usada completa",1,1
5kHzto50kHz_4ms_500us_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,COMP,0,"omitida: campaña histórica sólo para BP/LP",0,0
